"","userId","movieId","rating","timestamp"
"1",1,"1",5,1217897793
"2",1,"1",5,1217897793
"3",1,"1",5,1217897793
"4",1,"1",5,1217897793
"5",1,"1",5,1217897793
"114",2,"1",5,859046895
"115",2,"3",2,859046959
"116",2,"5",3,859046959
"117",2,"14",4,859047091
"118",2,"17",5,859046896
"119",2,"25",3,859046896
"120",2,"32",3,859046895
"121",2,"36",5,859046959
"122",2,"52",4,859047004
"123",2,"58",4,859047004
"124",2,"62",5,859046896
"125",2,"79",4,859047091
"126",2,"95",4,859046895
"127",2,"112",3,859047004
"128",2,"260",4,859047004
"129",2,"376",4,859047004
"130",2,"494",4,859046959
"131",2,"608",5,859046959
"132",2,"637",3,859047091
"133",2,"648",4,859046895
"134",2,"661",4,859047091
"135",2,"736",4,859046895
"136",2,"780",4,859046895
"137",2,"784",2,859047004
"138",2,"788",4,859047004
"139",2,"802",4,859047091
"140",2,"805",5,859047091
"141",2,"1073",4,859046959
"142",2,"1356",4,859047091
"143",3,"5",3,841483936
"144",3,"7",3,841484087
"145",3,"11",4,841483689
"146",3,"21",5,841483620
"147",3,"34",5,841483604
"148",3,"36",4,841483842
"149",3,"39",4,841483634
"150",3,"45",5,841483936
"151",3,"50",5,841483620
"152",3,"105",3,841483842
"153",3,"141",3,841483766
"154",3,"144",4,841484203
"155",3,"150",4,841483462
"156",3,"165",3,841483481
"157",3,"185",3,841483561
"158",3,"222",5,841483950
"159",3,"223",5,841483859
"160",3,"232",4,841484075
"161",3,"246",5,841483900
"162",3,"261",3,841483782
"163",3,"272",5,841483888
"164",3,"277",4,841483859
"165",3,"281",3,841484049
"166",3,"292",3,841483527
"167",3,"296",5,841483462
"168",3,"300",4,841483584
"169",3,"339",3,841483545
"170",3,"342",5,841483916
"171",3,"345",5,841484049
"172",3,"348",3,841484174
"173",3,"349",3,841483481
"174",3,"350",3,841483677
"175",3,"356",3,841483545
"176",3,"357",4,841483677
"177",3,"367",4,841483604
"178",3,"368",3,841483822
"179",3,"373",3,841484220
"180",3,"377",3,841483604
"181",3,"380",3,841483463
"182",3,"410",3,841483584
"183",3,"417",4,841484158
"184",3,"454",3,841483561
"185",3,"457",4,841483501
"186",3,"471",3,841483950
"187",3,"477",4,841483987
"188",3,"480",4,841483561
"189",3,"485",3,841483859
"190",3,"497",4,841483875
"191",3,"500",4,841483620
"192",3,"508",3,841483782
"193",3,"509",5,841483708
"194",3,"515",5,841483859
"195",3,"527",4,841483658
"196",3,"529",5,841483968
"197",3,"532",3,841484049
"198",3,"537",3,841484247
"199",3,"538",4,841484316
"200",3,"539",3,841483658
"201",3,"586",4,841483634
"202",3,"587",3,841483634
"203",3,"588",3,841483481
"204",3,"589",3,841483584
"205",3,"590",4,841483461
"206",3,"592",3,841483460
"207",3,"593",5,841483501
"208",3,"595",4,841483501
"209",3,"597",3,841483634
"210",3,"608",5,841483900
"211",3,"613",4,848052408
"212",3,"648",4,841483842
"213",3,"736",3,841483822
"214",3,"800",5,841484158
"215",3,"1161",4,848052408
"216",4,"30",4,950322938
"217",4,"32",5,950323750
"218",4,"111",4,950323208
"219",4,"154",4,950322965
"220",4,"213",4,950323441
"221",4,"296",4,950323526
"222",4,"306",5,950323967
"223",4,"307",5,950323407
"224",4,"308",5,950323915
"225",4,"318",4,950323355
"226",4,"509",3,950323662
"227",4,"527",4,950322655
"228",4,"573",4,950323585
"229",4,"593",4,950323141
"230",4,"608",4,950323165
"231",4,"858",5,950322891
"232",4,"898",4,950323675
"233",4,"899",5,950323707
"234",4,"904",4,950323141
"235",4,"905",5,950323027
"236",4,"909",4,950323771
"237",4,"910",5,950323049
"238",4,"912",5,950323006
"239",4,"913",5,950323285
"240",4,"916",4,950323250
"241",4,"919",5,950323407
"242",4,"922",5,950324518
"243",4,"928",4,950323087
"244",4,"936",4,950323317
"245",4,"937",5,950323355
"246",4,"940",5,950323317
"247",4,"943",4,950323729
"248",4,"945",4,950322859
"249",4,"946",4,950323285
"250",4,"947",4,950323317
"251",4,"951",5,950323638
"252",4,"1085",5,950322829
"253",4,"1094",4,950323087
"254",4,"1176",4,950323355
"255",4,"1185",4,950323796
"256",4,"1186",3,950323662
"257",4,"1196",4,950323441
"258",4,"1203",5,950323355
"259",4,"1204",5,950323087
"260",4,"1207",5,950323481
"261",4,"1209",4,950323513
"262",4,"1219",3,950323141
"263",4,"1224",4,950323707
"264",4,"1225",5,950323165
"265",4,"1230",4,950322729
"266",4,"1233",5,950323006
"267",4,"1244",4,950323141
"268",4,"1247",4,950323707
"269",4,"1250",5,950323208
"270",4,"1252",4,950324518
"271",4,"1254",5,950323285
"272",4,"1256",5,950323250
"273",4,"1267",3,950323049
"274",4,"1276",5,950323585
"275",4,"1277",4,950323407
"276",4,"1281",5,950323231
"277",4,"1283",4,950323285
"278",4,"1284",4,950323441
"279",4,"1296",4,950323208
"280",4,"1333",3,950323707
"281",4,"1358",4,950323638
"282",4,"1392",4,950323796
"283",4,"1412",4,950322891
"284",4,"1446",4,950323407
"285",4,"1511",3,950323662
"286",4,"1617",4,950323208
"287",4,"1633",5,950323796
"288",4,"1719",5,950323208
"289",4,"1732",2,950322729
"290",4,"1734",4,950322859
"291",4,"1931",4,950322965
"292",4,"1936",5,950322914
